grievance_id,employee_id,grievance_type,description,status,priority,created_at
GRV-10001,EMP408,Manager Misconduct,Manager Misconduct complaint raised by EMP408.,Under Investigation,High,2024-04-27 15:27:00
GRV-10002,EMP518,Ethics Complaint,Ethics Complaint complaint raised by EMP518.,Closed,High,2023-06-09 15:01:00
GRV-10003,EMP781,Manager Misconduct,Manager Misconduct complaint raised by EMP781.,Closed,High,2023-03-27 12:38:00
GRV-10004,EMP551,Discrimination,Discrimination complaint raised by EMP551.,Under Investigation,High,2023-09-21 14:29:00
GRV-10005,EMP314,Manager Misconduct,Manager Misconduct complaint raised by EMP314.,Resolved,High,2024-01-20 16:38:00
GRV-10006,EMP493,Harassment,Harassment complaint raised by EMP493.,Resolved,High,2023-05-20 15:12:00
GRV-10007,EMP159,Discrimination,Discrimination complaint raised by EMP159.,Escalated,High,2023-01-14 16:46:00
GRV-10008,EMP743,Bullying,Bullying complaint raised by EMP743.,Closed,High,2024-02-19 14:25:00
GRV-10009,EMP994,Hostile Environment,Hostile Environment complaint raised by EMP994.,Resolved,High,2024-01-29 15:19:00
GRV-10010,EMP657,Ethics Complaint,Ethics Complaint complaint raised by EMP657.,Escalated,High,2024-02-23 08:58:00
GRV-10011,EMP128,Manager Misconduct,Manager Misconduct complaint raised by EMP128.,Under Investigation,High,2023-07-18 14:16:00
GRV-10012,EMP790,Hostile Environment,Hostile Environment complaint raised by EMP790.,Resolved,High,2024-06-05 15:40:00
GRV-10013,EMP706,Bullying,Bullying complaint raised by EMP706.,Escalated,High,2024-10-28 14:59:00
GRV-10014,EMP435,Hostile Environment,Hostile Environment complaint raised by EMP435.,Under Investigation,High,2023-09-06 15:02:00
GRV-10015,EMP944,Bullying,Bullying complaint raised by EMP944.,Escalated,High,2024-12-15 18:41:00
GRV-10016,EMP152,Bullying,Bullying complaint raised by EMP152.,Closed,High,2024-11-28 10:16:00
GRV-10017,EMP254,Ethics Complaint,Ethics Complaint complaint raised by EMP254.,Under Investigation,High,2023-01-13 09:49:00
GRV-10018,EMP095,Hostile Environment,Hostile Environment complaint raised by EMP095.,Closed,High,2024-02-12 17:57:00
GRV-10019,EMP083,Ethics Complaint,Ethics Complaint complaint raised by EMP083.,Under Investigation,High,2024-03-09 10:53:00
GRV-10020,EMP438,Bullying,Bullying complaint raised by EMP438.,Resolved,High,2024-05-27 16:42:00
GRV-10021,EMP908,Manager Misconduct,Manager Misconduct complaint raised by EMP908.,Resolved,High,2024-02-26 09:06:00
GRV-10022,EMP652,Ethics Complaint,Ethics Complaint complaint raised by EMP652.,Resolved,High,2023-05-27 12:47:00
